代码,名称,交易状态,方向,订单价格,订单数量,已成交@均价,操作,下单时间,订单类型,期限,盘前竞价,时段,触发价,卖空,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场,币种,对手经纪,备注,交易活动费,证监会规费, 合计费用, 当前费用为实盘收费估算值，可能与实盘存在差异
MARA,MARA Holdings,全部成交,卖出,16,400,400@16.01,,2024/10/4 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.01,6404,2024/10/4 11:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部撤单,买入,16,200,0.0@0.0,,2024/10/4 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,0,0,0,,美国市场,美元,,,,,,
MARA,MARA Holdings,全部成交,卖出,16.2,200,200@16.2,,2024/10/4 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.2,3240,2024/10/4 11:35,美国市场,美元,,,0.03,0.09,0.12,
MARA,MARA Holdings,全部成交,买入,16.3,200,200@16.3,,2024/10/4 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.3,3260,2024/10/4 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.4,200,200@16.4,,2024/10/4 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.4,3280,2024/10/4 12:32,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,16.5,400,400@16.53,,2024/10/4 13:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.53,6612,2024/10/4 13:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,买入,16.5,200,200@16.5,,2024/10/4 13:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.5,3300,2024/10/4 13:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.3,200,200@16.27,,2024/10/4 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.27,3254,2024/10/4 13:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.4,200,200@16.4,,2024/10/7 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.4,3280,2024/10/7 9:34,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部撤单,卖出,16.6,400,0.0@0.0,,2024/10/7 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,0,0,0,,美国市场,美元,,,,,,
MARA,MARA Holdings,全部成交,买入,16.2,200,200@16.2,,2024/10/7 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.2,3240,2024/10/7 11:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.2,200,200@16.16,,2024/10/7 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.16,3232,2024/10/7 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.9,200,200@15.9,,2024/10/7 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.9,3180,2024/10/7 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16,200,200@15.97,,2024/10/7 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.97,3194,2024/10/7 12:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.1,200,200@16.09,,2024/10/7 13:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.09,3218,2024/10/7 13:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.9,200,200@15.89,,2024/10/7 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.89,3178,2024/10/7 13:30,美国市场,美元,,,0,0,0,
